id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones,anio_venta,mes_venta,cepal_modo_transporte,cepal_volumen_pasajeros_km,cepal_unidad
19,3,11,1,3,2023-04-03,2023-04-13,14,111.6,Telefono,Viajado,0.0,JUAN CARLOS,Sin observaciones,2023,4,Sin dato,0.0,Sin dato CEPALSTAT
20,9,6,5,12,2023-04-26,2023-05-02,10,150.0,Telefono,Viajado,0.0,SIN REGISTRO,Sin observaciones,2023,4,Sin dato,0.0,Sin dato CEPALSTAT
21,2,5,1,1,2023-08-15,2023-09-07,13,111.6,Agente,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2023,8,Sin dato,0.0,Sin dato CEPALSTAT
22,4,19,1,5,2024-07-21,2024-08-05,41,96.12,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2024,7,Sin dato,0.0,Sin dato CEPALSTAT
23,5,1,2,2,2024-08-08,2024-08-13,25,114.66,Agente,Viajado,10.0,MARIA ELENA FLORES,Sin observaciones,2024,8,Sin dato,0.0,Sin dato CEPALSTAT
24,6,11,2,8,2023-11-11,2023-12-08,8,131.6,Ventanilla,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
25,5,11,2,2,2025-01-27,2025-02-01,41,144.2,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2025,1,Sin dato,0.0,Sin dato CEPALSTAT
26,11,9,7,4,2023-12-30,2024-01-05,24,30.96,Telefono,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra,2023,12,Sin dato,0.0,Sin dato CEPALSTAT
27,13,11,8,4,2023-01-03,2023-01-04,4,28.04,Ventanilla,Viajado,10.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,1,Sin dato,0.0,Sin dato CEPALSTAT
28,11,8,7,4,2023-07-29,2023-08-05,34,34.0,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
29,7,15,3,3,2025-08-08,2025-08-17,46,109.89,Ventanilla,Cancelado,10.0,JORGE EDUARDO IBA?EZ CASTRO,Pasaje con equipaje extra,2025,8,Sin dato,0.0,Sin dato CEPALSTAT
30,13,1,8,4,2025-07-28,2025-08-08,11,32.9,Ventanilla,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2025,7,Sin dato,0.0,Sin dato CEPALSTAT
31,5,3,2,2,2025-06-04,2025-06-19,19,128.8,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2025,6,Sin dato,0.0,Sin dato CEPALSTAT
32,13,8,8,4,2025-08-19,2025-08-31,41,39.2,Ventanilla,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra,2025,8,Sin dato,0.0,Sin dato CEPALSTAT
33,5,18,2,2,2025-04-12,2025-05-10,14,120.4,Telefono,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
34,4,20,1,5,2025-03-27,2025-04-17,8,129.6,Agente,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasajero adulto mayor,2025,3,Sin dato,0.0,Sin dato CEPALSTAT
35,15,10,11,13,2025-07-18,2025-07-31,42,8.32,Web,Viajado,20.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2025,7,Sin dato,0.0,Sin dato CEPALSTAT
36,12,3,7,6,2023-10-09,2023-10-14,35,41.2,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2023,10,Sin dato,0.0,Sin dato CEPALSTAT
37,11,16,7,4,2023-07-26,2023-08-13,15,36.4,Telefono,Cancelado,0.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
38,11,1,7,4,2025-04-05,2025-04-13,10,39.6,Web,Viajado,10.0,JUAN CARLOS,Pasaje con equipaje extra,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
39,1,9,1,1,2023-11-29,2023-12-16,3,106.92,Agente,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
40,2,4,1,1,2025-11-14,2025-12-13,34,123.6,Agente,Cancelado,0.0,SIN REGISTRO,Sin observaciones,2025,11,Sin dato,0.0,Sin dato CEPALSTAT
41,1,8,1,1,2025-02-28,2025-03-14,22,127.2,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
42,3,19,1,3,2025-07-02,2025-07-22,46,115.56,Agente,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2025,7,Sin dato,0.0,Sin dato CEPALSTAT
43,9,4,5,12,2024-02-26,2024-03-22,33,121.5,Web,Viajado,10.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2024,2,Sin dato,0.0,Sin dato CEPALSTAT
44,10,12,6,10,2023-06-14,2023-06-18,11,89.1,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasaje con equipaje extra,2023,6,Sin dato,0.0,Sin dato CEPALSTAT
45,2,17,1,1,2022-12-25,2023-01-12,32,105.84,Telefono,Cancelado,10.0,RICARDO ERNESTO PONCE MONTA?O,Sin observaciones,2022,12,Transporte Aereo,4424351213.328,kilómetros de pasajeros facturados
46,5,20,2,2,2024-09-05,2024-09-20,17,142.8,Agente,Viajado,0.0,MARIA ELENA FLORES,Sin observaciones,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
47,5,1,2,2,2025-02-04,2025-02-18,1,138.6,Telefono,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
48,7,15,3,3,2023-01-11,2023-02-02,20,100.1,Ventanilla,Viajado,0.0,JORGE EDUARDO IBA?EZ CASTRO,Pasajero adulto mayor,2023,1,Sin dato,0.0,Sin dato CEPALSTAT
49,1,2,1,1,2023-05-18,2023-05-25,44,111.6,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2023,5,Sin dato,0.0,Sin dato CEPALSTAT
50,2,3,1,1,2024-12-29,2025-01-22,39,127.2,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,12,Sin dato,0.0,Sin dato CEPALSTAT
51,5,19,2,2,2023-05-31,2023-06-23,18,154.0,Telefono,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasajero adulto mayor,2023,5,Sin dato,0.0,Sin dato CEPALSTAT
52,10,12,6,10,2025-08-23,2025-09-09,37,80.1,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2025,8,Sin dato,0.0,Sin dato CEPALSTAT
53,12,1,7,6,2023-06-06,2023-06-16,24,38.4,Web,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2023,6,Sin dato,0.0,Sin dato CEPALSTAT
54,15,12,11,13,2024-10-25,2024-10-27,9,11.0,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2024,10,Sin dato,0.0,Sin dato CEPALSTAT
55,6,19,2,8,2023-04-01,2023-04-26,7,158.2,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2023,4,Sin dato,0.0,Sin dato CEPALSTAT
56,1,9,1,1,2023-03-19,2023-04-13,37,112.8,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones,2023,3,Sin dato,0.0,Sin dato CEPALSTAT
57,11,7,7,4,2023-06-06,2023-07-01,24,32.76,Ventanilla,Viajado,10.0,JUAN CARLOS,Pasajero adulto mayor,2023,6,Sin dato,0.0,Sin dato CEPALSTAT
58,14,14,10,13,2025-05-02,2025-05-27,15,28.25,Telefono,Viajado,0.0,CLAUDIA VERONICA SALINAS IBA?EZ,Sin observaciones,2025,5,Sin dato,0.0,Sin dato CEPALSTAT
59,6,6,2,8,2024-03-01,2024-03-19,21,124.6,Ventanilla,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,3,Sin dato,0.0,Sin dato CEPALSTAT
60,10,16,6,10,2024-06-23,2024-07-18,23,88.2,Agente,Viajado,0.0,SIN REGISTRO,Pasaje con equipaje extra,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
61,1,1,1,1,2025-04-12,2025-04-25,3,99.84,Web,Viajado,20.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
62,11,11,7,4,2024-06-13,2024-06-24,22,40.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Pasajero adulto mayor,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
63,5,1,2,2,2025-02-13,2025-03-04,25,152.6,Ventanilla,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
64,1,10,1,1,2023-11-12,2023-11-26,28,114.0,Agente,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
65,5,1,2,2,2025-02-15,2025-03-13,11,130.2,Agente,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
66,1,11,1,1,2023-02-06,2023-02-23,27,117.72,Web,Viajado,10.0,ROBERTO CARLOS VILLANUEVA RAMOS,Pasaje con equipaje extra,2023,2,Sin dato,0.0,Sin dato CEPALSTAT
67,15,2,11,13,2024-02-06,2024-02-28,45,9.8,Telefono,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2024,2,Sin dato,0.0,Sin dato CEPALSTAT
68,10,17,6,10,2023-03-20,2023-04-01,6,83.43,Telefono,Viajado,10.0,RICARDO ERNESTO PONCE MONTA?O,Pasajero adulto mayor,2023,3,Sin dato,0.0,Sin dato CEPALSTAT
69,1,14,1,1,2024-11-07,2024-11-10,45,112.8,Agente,Viajado,0.0,MARIA ELENA FLORES,Sin observaciones,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
70,9,1,5,12,2023-01-04,2023-01-21,16,133.5,Agente,Confirmado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2023,1,Sin dato,0.0,Sin dato CEPALSTAT
71,11,11,7,4,2024-09-13,2024-10-03,39,42.8,Web,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
72,14,6,10,13,2023-09-28,2023-10-23,31,19.8,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Pasajero adulto mayor,2023,9,Sin dato,0.0,Sin dato CEPALSTAT
73,7,17,3,3,2024-12-23,2025-01-09,5,101.2,Ventanilla,Confirmado,0.0,RICARDO ERNESTO PONCE MONTA?O,Sin observaciones,2024,12,Sin dato,0.0,Sin dato CEPALSTAT
74,4,13,1,5,2023-11-05,2023-11-19,14,105.6,Agente,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
75,8,2,4,11,2024-09-05,2024-09-25,25,79.8,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
76,6,9,2,8,2023-12-30,2024-01-21,35,112.0,Telefono,Viajado,20.0,JUAN CARLOS,Sin observaciones,2023,12,Sin dato,0.0,Sin dato CEPALSTAT
77,3,4,1,3,2023-07-07,2023-07-31,33,116.64,Telefono,Cancelado,10.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
78,2,1,1,1,2025-05-07,2025-05-15,19,99.36,Telefono,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,5,Sin dato,0.0,Sin dato CEPALSTAT
79,4,18,1,5,2024-01-05,2024-02-01,38,116.4,Web,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2024,1,Sin dato,0.0,Sin dato CEPALSTAT
80,15,18,11,13,2023-07-07,2023-07-20,11,10.8,Web,Viajado,0.0,SIN REGISTRO,Pasajero adulto mayor,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
81,5,1,2,2,2025-09-25,2025-10-23,11,135.8,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,9,Sin dato,0.0,Sin dato CEPALSTAT
82,3,18,1,3,2024-06-17,2024-06-22,40,106.92,Agente,Viajado,10.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
83,11,2,7,4,2025-02-05,2025-02-19,24,45.2,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
84,10,6,6,10,2024-11-17,2024-11-25,37,81.81,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
85,4,9,1,5,2024-04-12,2024-04-17,30,110.4,Agente,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,4,Sin dato,0.0,Sin dato CEPALSTAT
86,13,11,8,4,2023-08-29,2023-09-04,38,36.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,8,Sin dato,0.0,Sin dato CEPALSTAT
87,1,11,1,1,2023-05-12,2023-06-11,22,120.0,Web,Cancelado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,5,Sin dato,0.0,Sin dato CEPALSTAT
88,1,9,1,1,2024-07-23,2024-08-02,14,124.8,Ventanilla,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,7,Sin dato,0.0,Sin dato CEPALSTAT
89,1,18,1,1,2025-02-21,2025-03-08,8,123.6,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
90,14,14,10,13,2023-01-08,2023-01-24,7,27.25,Ventanilla,Viajado,0.0,CLAUDIA VERONICA SALINAS IBA?EZ,Pasaje con equipaje extra,2023,1,Sin dato,0.0,Sin dato CEPALSTAT
91,8,7,4,11,2025-03-30,2025-04-23,2,57.96,Web,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Sin observaciones,2025,3,Sin dato,0.0,Sin dato CEPALSTAT
92,8,14,4,11,2025-11-17,2025-11-25,5,71.4,Telefono,Viajado,0.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2025,11,Sin dato,0.0,Sin dato CEPALSTAT
93,14,18,10,13,2023-06-13,2023-06-19,7,25.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2023,6,Sin dato,0.0,Sin dato CEPALSTAT
94,6,16,2,8,2024-10-24,2024-10-25,42,149.8,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2024,10,Sin dato,0.0,Sin dato CEPALSTAT
95,11,10,7,4,2025-06-04,2025-07-04,1,44.4,Agente,Viajado,0.0,JUAN CARLOS,Pasajero adulto mayor,2025,6,Sin dato,0.0,Sin dato CEPALSTAT
96,8,10,4,11,2025-04-29,2025-05-28,43,63.63,Web,Cancelado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
97,14,5,10,13,2025-03-25,2025-04-14,25,28.0,Telefono,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2025,3,Sin dato,0.0,Sin dato CEPALSTAT
98,1,18,1,1,2025-02-11,2025-02-23,11,134.4,Telefono,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
99,1,4,1,1,2024-09-08,2024-09-17,31,114.0,Ventanilla,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
100,15,20,11,13,2024-03-10,2024-04-04,15,8.72,Ventanilla,Cancelado,20.0,SIN REGISTRO,Sin observaciones,2024,3,Sin dato,0.0,Sin dato CEPALSTAT
101,8,3,4,11,2023-05-23,2023-06-11,5,72.8,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2023,5,Sin dato,0.0,Sin dato CEPALSTAT
102,9,18,5,12,2024-08-29,2024-09-21,2,130.5,Agente,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2024,8,Sin dato,0.0,Sin dato CEPALSTAT
103,2,16,1,1,2023-12-15,2024-01-14,28,110.4,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2023,12,Sin dato,0.0,Sin dato CEPALSTAT
104,5,3,2,2,2025-07-17,2025-07-23,18,152.6,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra,2025,7,Sin dato,0.0,Sin dato CEPALSTAT
105,10,7,6,10,2023-11-08,2023-12-04,22,81.81,Telefono,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Sin observaciones,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
106,14,12,10,13,2023-11-04,2023-11-07,19,21.5,Telefono,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2023,11,Sin dato,0.0,Sin dato CEPALSTAT
107,7,2,3,3,2024-06-05,2024-07-01,29,123.2,Ventanilla,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
108,12,20,7,6,2025-11-06,2025-12-06,17,42.8,Ventanilla,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2025,11,Sin dato,0.0,Sin dato CEPALSTAT
109,8,5,4,11,2024-09-23,2024-09-25,37,59.5,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
110,13,5,8,4,2023-01-23,2023-01-24,19,30.1,Ventanilla,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2023,1,Sin dato,0.0,Sin dato CEPALSTAT
111,15,7,11,13,2023-10-06,2023-10-24,28,11.0,Web,Viajado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra,2023,10,Sin dato,0.0,Sin dato CEPALSTAT
112,7,16,3,3,2024-01-11,2024-01-28,27,84.15,Ventanilla,Confirmado,10.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2024,1,Sin dato,0.0,Sin dato CEPALSTAT
113,4,3,1,5,2024-11-13,2024-12-02,21,123.6,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
114,5,4,2,2,2023-07-10,2023-08-02,35,123.2,Web,Viajado,0.0,JUAN CARLOS,Sin observaciones,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
115,9,6,5,12,2024-11-09,2024-12-02,28,135.0,Telefono,Cancelado,0.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2024,11,Sin dato,0.0,Sin dato CEPALSTAT
116,11,18,7,4,2024-10-02,2024-10-09,25,36.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2024,10,Sin dato,0.0,Sin dato CEPALSTAT
117,8,1,4,11,2025-02-09,2025-02-10,7,67.41,Ventanilla,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2,Sin dato,0.0,Sin dato CEPALSTAT
118,8,19,4,11,2023-07-19,2023-08-17,12,61.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2023,7,Sin dato,0.0,Sin dato CEPALSTAT
119,10,18,6,10,2023-09-09,2023-10-09,1,69.66,Web,Viajado,10.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2023,9,Sin dato,0.0,Sin dato CEPALSTAT
120,13,10,8,4,2023-09-08,2023-10-01,14,27.72,Web,Cancelado,10.0,SIN REGISTRO,Pasaje con equipaje extra,2023,9,Sin dato,0.0,Sin dato CEPALSTAT
121,11,12,7,4,2024-01-15,2024-02-11,46,38.4,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2024,1,Sin dato,0.0,Sin dato CEPALSTAT
122,12,4,7,6,2023-03-18,2023-03-23,15,44.0,Agente,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2023,3,Sin dato,0.0,Sin dato CEPALSTAT
123,12,3,7,6,2024-06-02,2024-06-08,46,36.72,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra,2024,6,Sin dato,0.0,Sin dato CEPALSTAT
124,8,17,4,11,2025-03-15,2025-04-10,32,72.8,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTA?O,Pasaje con equipaje extra,2025,3,Sin dato,0.0,Sin dato CEPALSTAT
125,13,8,8,4,2025-01-15,2025-01-23,6,31.5,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasajero adulto mayor,2025,1,Sin dato,0.0,Sin dato CEPALSTAT
126,4,13,1,5,2025-12-21,2025-12-29,9,118.8,Telefono,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2025,12,Sin dato,0.0,Sin dato CEPALSTAT
127,10,19,6,10,2025-01-28,2025-02-14,23,73.71,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2025,1,Sin dato,0.0,Sin dato CEPALSTAT
128,8,17,4,11,2022-12-24,2023-01-04,13,63.7,Ventanilla,Viajado,0.0,RICARDO ERNESTO PONCE MONTA?O,Pasajero adulto mayor,2022,12,Transporte Aereo,4424351213.328,kilómetros de pasajeros facturados
129,8,13,4,11,2025-04-06,2025-05-03,20,63.0,Telefono,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2025,4,Sin dato,0.0,Sin dato CEPALSTAT
130,5,10,2,2,2024-07-18,2024-07-20,33,112.14,Telefono,Viajado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2024,7,Sin dato,0.0,Sin dato CEPALSTAT
131,3,9,1,3,2024-09-10,2024-10-06,3,109.2,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,9,Sin dato,0.0,Sin dato CEPALSTAT
