id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones,anio_venta,mes_venta
35,15,10,11,13,2025-07-18,2025-07-31,42,8.32,Web,Viajado,20.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2025,7
36,12,3,7,6,2023-10-09,2023-10-14,35,41.2,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2023,10
37,11,16,7,4,2023-07-26,2023-08-13,15,36.4,Telefono,Cancelado,0.0,MONICA CECILIA CASTRO PONCE,Sin observaciones,2023,7
38,11,1,7,4,2025-04-05,2025-04-13,10,39.6,Web,Viajado,10.0,JUAN CARLOS,Pasaje con equipaje extra,2025,4
39,1,9,1,1,2023-11-29,2023-12-16,3,106.92,Agente,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2023,11
40,2,4,1,1,2025-11-14,2025-12-13,34,123.6,Agente,Cancelado,0.0,SIN REGISTRO,Sin observaciones,2025,11
41,1,8,1,1,2025-02-28,2025-03-14,22,127.2,Web,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Sin observaciones,2025,2
42,3,19,1,3,2025-07-02,2025-07-22,46,115.56,Agente,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasaje con equipaje extra,2025,7
43,9,4,5,12,2024-02-26,2024-03-22,33,121.5,Web,Viajado,10.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2024,2
44,10,12,6,10,2023-06-14,2023-06-18,11,89.1,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasaje con equipaje extra,2023,6
45,2,17,1,1,2022-12-25,2023-01-12,32,105.84,Telefono,Cancelado,10.0,RICARDO ERNESTO PONCE MONTA?O,Sin observaciones,2022,12
46,5,20,2,2,2024-09-05,2024-09-20,17,142.8,Agente,Viajado,0.0,MARIA ELENA FLORES,Sin observaciones,2024,9
47,5,1,2,2,2025-02-04,2025-02-18,1,138.6,Telefono,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2
48,7,15,3,3,2023-01-11,2023-02-02,20,100.1,Ventanilla,Viajado,0.0,JORGE EDUARDO IBA?EZ CASTRO,Pasajero adulto mayor,2023,1
49,1,2,1,1,2023-05-18,2023-05-25,44,111.6,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2023,5
50,2,3,1,1,2024-12-29,2025-01-22,39,127.2,Agente,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,12
51,5,19,2,2,2023-05-31,2023-06-23,18,154.0,Telefono,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasajero adulto mayor,2023,5
52,10,12,6,10,2025-08-23,2025-09-09,37,80.1,Ventanilla,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2025,8
53,12,1,7,6,2023-06-06,2023-06-16,24,38.4,Web,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2023,6
54,15,12,11,13,2024-10-25,2024-10-27,9,11.0,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2024,10
55,6,19,2,8,2023-04-01,2023-04-26,7,158.2,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2023,4
56,1,9,1,1,2023-03-19,2023-04-13,37,112.8,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Sin observaciones,2023,3
57,11,7,7,4,2023-06-06,2023-07-01,24,32.76,Ventanilla,Viajado,10.0,JUAN CARLOS,Pasajero adulto mayor,2023,6
58,14,14,10,13,2025-05-02,2025-05-27,15,28.25,Telefono,Viajado,0.0,CLAUDIA VERONICA SALINAS IBA?EZ,Sin observaciones,2025,5
59,6,6,2,8,2024-03-01,2024-03-19,21,124.6,Ventanilla,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,3
60,10,16,6,10,2024-06-23,2024-07-18,23,88.2,Agente,Viajado,0.0,SIN REGISTRO,Pasaje con equipaje extra,2024,6
61,1,1,1,1,2025-04-12,2025-04-25,3,99.84,Web,Viajado,20.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,4
62,11,11,7,4,2024-06-13,2024-06-24,22,40.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Pasajero adulto mayor,2024,6
63,5,1,2,2,2025-02-13,2025-03-04,25,152.6,Ventanilla,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2
64,1,10,1,1,2023-11-12,2023-11-26,28,114.0,Agente,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2023,11
65,5,1,2,2,2025-02-15,2025-03-13,11,130.2,Agente,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2025,2
66,1,11,1,1,2023-02-06,2023-02-23,27,117.72,Web,Viajado,10.0,ROBERTO CARLOS VILLANUEVA RAMOS,Pasaje con equipaje extra,2023,2
67,15,2,11,13,2024-02-06,2024-02-28,45,9.8,Telefono,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2024,2
68,10,17,6,10,2023-03-20,2023-04-01,6,83.43,Telefono,Viajado,10.0,RICARDO ERNESTO PONCE MONTA?O,Pasajero adulto mayor,2023,3
69,1,14,1,1,2024-11-07,2024-11-10,45,112.8,Agente,Viajado,0.0,MARIA ELENA FLORES,Sin observaciones,2024,11
70,9,1,5,12,2023-01-04,2023-01-21,16,133.5,Agente,Confirmado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2023,1
71,11,11,7,4,2024-09-13,2024-10-03,39,42.8,Web,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2024,9
72,14,6,10,13,2023-09-28,2023-10-23,31,19.8,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Pasajero adulto mayor,2023,9
73,7,17,3,3,2024-12-23,2025-01-09,5,101.2,Ventanilla,Confirmado,0.0,RICARDO ERNESTO PONCE MONTA?O,Sin observaciones,2024,12
74,4,13,1,5,2023-11-05,2023-11-19,14,105.6,Agente,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor,2023,11
75,8,2,4,11,2024-09-05,2024-09-25,25,79.8,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2024,9
76,6,9,2,8,2023-12-30,2024-01-21,35,112.0,Telefono,Viajado,20.0,JUAN CARLOS,Sin observaciones,2023,12
77,3,4,1,3,2023-07-07,2023-07-31,33,116.64,Telefono,Cancelado,10.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra,2023,7
78,2,1,1,1,2025-05-07,2025-05-15,19,99.36,Telefono,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,5
79,4,18,1,5,2024-01-05,2024-02-01,38,116.4,Web,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2024,1
80,15,18,11,13,2023-07-07,2023-07-20,11,10.8,Web,Viajado,0.0,SIN REGISTRO,Pasajero adulto mayor,2023,7
81,5,1,2,2,2025-09-25,2025-10-23,11,135.8,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Sin observaciones,2025,9
82,3,18,1,3,2024-06-17,2024-06-22,40,106.92,Agente,Viajado,10.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2024,6
83,11,2,7,4,2025-02-05,2025-02-19,24,45.2,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasajero adulto mayor,2025,2
84,10,6,6,10,2024-11-17,2024-11-25,37,81.81,Ventanilla,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,11
85,4,9,1,5,2024-04-12,2024-04-17,30,110.4,Agente,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,4
86,13,11,8,4,2023-08-29,2023-09-04,38,36.4,Telefono,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,8
87,1,11,1,1,2023-05-12,2023-06-11,22,120.0,Web,Cancelado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2023,5
88,1,9,1,1,2024-07-23,2024-08-02,14,124.8,Ventanilla,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,7
89,1,18,1,1,2025-02-21,2025-03-08,8,123.6,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2025,2
90,14,14,10,13,2023-01-08,2023-01-24,7,27.25,Ventanilla,Viajado,0.0,CLAUDIA VERONICA SALINAS IBA?EZ,Pasaje con equipaje extra,2023,1
91,8,7,4,11,2025-03-30,2025-04-23,2,57.96,Web,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Sin observaciones,2025,3
92,8,14,4,11,2025-11-17,2025-11-25,5,71.4,Telefono,Viajado,0.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2025,11
93,14,18,10,13,2023-06-13,2023-06-19,7,25.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Sin observaciones,2023,6
94,6,16,2,8,2024-10-24,2024-10-25,42,149.8,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2024,10
95,11,10,7,4,2025-06-04,2025-07-04,1,44.4,Agente,Viajado,0.0,JUAN CARLOS,Pasajero adulto mayor,2025,6
96,8,10,4,11,2025-04-29,2025-05-28,43,63.63,Web,Cancelado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2025,4
97,14,5,10,13,2025-03-25,2025-04-14,25,28.0,Telefono,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2025,3
98,1,18,1,1,2025-02-11,2025-02-23,11,134.4,Telefono,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2025,2
99,1,4,1,1,2024-09-08,2024-09-17,31,114.0,Ventanilla,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor,2024,9
100,15,20,11,13,2024-03-10,2024-04-04,15,8.72,Ventanilla,Cancelado,20.0,SIN REGISTRO,Sin observaciones,2024,3
101,8,3,4,11,2023-05-23,2023-06-11,5,72.8,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2023,5
102,9,18,5,12,2024-08-29,2024-09-21,2,130.5,Agente,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasajero adulto mayor,2024,8
103,2,16,1,1,2023-12-15,2024-01-14,28,110.4,Ventanilla,Viajado,0.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2023,12
104,5,3,2,2,2025-07-17,2025-07-23,18,152.6,Web,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra,2025,7
105,10,7,6,10,2023-11-08,2023-12-04,22,81.81,Telefono,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Sin observaciones,2023,11
106,14,12,10,13,2023-11-04,2023-11-07,19,21.5,Telefono,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2023,11
107,7,2,3,3,2024-06-05,2024-07-01,29,123.2,Ventanilla,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2024,6
108,12,20,7,6,2025-11-06,2025-12-06,17,42.8,Ventanilla,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2025,11
109,8,5,4,11,2024-09-23,2024-09-25,37,59.5,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2024,9
110,13,5,8,4,2023-01-23,2023-01-24,19,30.1,Ventanilla,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2023,1
111,15,7,11,13,2023-10-06,2023-10-24,28,11.0,Web,Viajado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra,2023,10
112,7,16,3,3,2024-01-11,2024-01-28,27,84.15,Ventanilla,Confirmado,10.0,MONICA CECILIA CASTRO PONCE,Pasaje con equipaje extra,2024,1
113,4,3,1,5,2024-11-13,2024-12-02,21,123.6,Ventanilla,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Sin observaciones,2024,11
114,5,4,2,2,2023-07-10,2023-08-02,35,123.2,Web,Viajado,0.0,JUAN CARLOS,Sin observaciones,2023,7
115,9,6,5,12,2024-11-09,2024-12-02,28,135.0,Telefono,Cancelado,0.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2024,11
116,11,18,7,4,2024-10-02,2024-10-09,25,36.0,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2024,10
117,8,1,4,11,2025-02-09,2025-02-10,7,67.41,Ventanilla,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2025,2
118,8,19,4,11,2023-07-19,2023-08-17,12,61.6,Ventanilla,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2023,7
119,10,18,6,10,2023-09-09,2023-10-09,1,69.66,Web,Viajado,10.0,SILVIA ROSARIO MONTA?O PEREZ,Pasaje con equipaje extra,2023,9
120,13,10,8,4,2023-09-08,2023-10-01,14,27.72,Web,Cancelado,10.0,SIN REGISTRO,Pasaje con equipaje extra,2023,9
121,11,12,7,4,2024-01-15,2024-02-11,46,38.4,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Sin observaciones,2024,1
122,12,4,7,6,2023-03-18,2023-03-23,15,44.0,Agente,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2023,3
123,12,3,7,6,2024-06-02,2024-06-08,46,36.72,Telefono,Viajado,10.0,PEDRO ANTONIO GUTIERREZ VACA,Pasaje con equipaje extra,2024,6
124,8,17,4,11,2025-03-15,2025-04-10,32,72.8,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTA?O,Pasaje con equipaje extra,2025,3
125,13,8,8,4,2025-01-15,2025-01-23,6,31.5,Agente,Viajado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasajero adulto mayor,2025,1
126,4,13,1,5,2025-12-21,2025-12-29,9,118.8,Telefono,Cancelado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra,2025,12
127,10,19,6,10,2025-01-28,2025-02-14,23,73.71,Web,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2025,1
128,8,17,4,11,2022-12-24,2023-01-04,13,63.7,Ventanilla,Viajado,0.0,RICARDO ERNESTO PONCE MONTA?O,Pasajero adulto mayor,2022,12
129,8,13,4,11,2025-04-06,2025-05-03,20,63.0,Telefono,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Sin observaciones,2025,4
130,5,10,2,2,2024-07-18,2024-07-20,33,112.14,Telefono,Viajado,10.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasaje con equipaje extra,2024,7
131,3,9,1,3,2024-09-10,2024-10-06,3,109.2,Web,Viajado,0.0,LUIS FERNANDO MENDOZA ARCE,Pasajero adulto mayor,2024,9
132,3,2,1,3,2025-02-04,2025-02-12,40,110.4,Web,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2025,2
133,8,14,4,11,2025-05-30,2025-06-20,18,65.1,Ventanilla,Viajado,0.0,JUAN CARLOS,Pasajero adulto mayor,2025,5
134,15,14,11,13,2024-05-04,2024-05-28,23,8.19,Agente,Cancelado,10.0,CLAUDIA VERONICA SALINAS IBA?EZ,Sin observaciones,2024,5
135,3,4,1,3,2025-02-20,2025-03-19,36,112.8,Telefono,Viajado,0.0,ANA LUISA CONDORI HUANCA,Sin observaciones,2025,2
136,9,3,5,12,2025-01-20,2025-02-12,13,151.5,Ventanilla,Cancelado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor,2025,1
137,15,20,11,13,2024-07-10,2024-07-25,39,10.7,Agente,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Sin observaciones,2024,7
138,9,4,5,12,2024-03-29,2024-04-01,20,143.1,Web,Viajado,10.0,MARIA ELENA FLORES,Pasaje con equipaje extra,2024,3
139,13,7,8,4,2023-04-29,2023-05-07,8,30.1,Web,Viajado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra,2023,4
140,6,6,2,8,2023-09-04,2023-09-22,32,142.8,Agente,Viajado,0.0,SIN REGISTRO,Pasaje con equipaje extra,2023,9
141,6,20,2,8,2025-01-17,2025-01-24,26,133.0,Agente,Cancelado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2025,1
142,7,1,3,3,2023-03-12,2023-03-29,35,115.5,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,Pasaje con equipaje extra,2023,3
143,3,8,1,3,2025-02-17,2025-02-27,18,115.2,Agente,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra,2025,2
144,11,19,7,4,2023-01-02,2023-01-18,10,37.2,Telefono,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasajero adulto mayor,2023,1
145,10,7,6,10,2024-11-28,2024-12-09,28,87.48,Agente,Viajado,10.0,MIGUEL ANGEL QUISPE MAMANI,Sin observaciones,2024,11
146,13,11,8,4,2024-10-13,2024-10-26,35,33.6,Web,Viajado,0.0,ROBERTO CARLOS VILLANUEVA RAMOS,Sin observaciones,2024,10
147,10,5,6,10,2024-06-03,2024-06-15,41,92.7,Ventanilla,Cancelado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2024,6
148,13,5,8,4,2025-03-02,2025-03-09,32,35.0,Web,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Pasaje con equipaje extra,2025,3
149,7,5,3,3,2023-05-09,2023-06-04,38,123.2,Telefono,Viajado,0.0,CARLOS ALBERTO VARGAS TORREZ,Sin observaciones,2023,5
150,2,10,1,1,2023-12-24,2024-01-01,12,129.6,Ventanilla,Viajado,0.0,GLORIA BEATRIZ ARCE VILLANUEVA,Sin observaciones,2023,12
151,7,4,3,3,2023-09-10,2023-09-29,28,105.6,Telefono,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Pasajero adulto mayor,2023,9
152,9,13,5,12,2023-03-12,2023-04-06,22,148.5,Telefono,Viajado,10.0,JUAN CARLOS,Sin observaciones,2023,3
153,9,15,5,12,2025-06-06,2025-06-19,36,144.0,Web,Viajado,0.0,JORGE EDUARDO IBA?EZ CASTRO,Sin observaciones,2025,6
154,15,19,11,13,2025-04-26,2025-05-21,1,11.2,Agente,Cancelado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Pasajero adulto mayor,2025,4
155,9,6,5,12,2024-08-25,2024-09-03,33,136.5,Telefono,Viajado,0.0,ROSA ANGELICA CHOQUE LIMACHI,Sin observaciones,2024,8
156,12,2,7,6,2024-01-30,2024-01-31,26,37.2,Web,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2024,1
157,6,13,2,8,2025-04-19,2025-04-24,41,152.6,Agente,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor,2025,4
158,1,17,1,1,2022-12-20,2023-01-08,46,117.6,Web,Viajado,0.0,RICARDO ERNESTO PONCE MONTA?O,Pasaje con equipaje extra,2022,12
159,12,1,7,6,2024-01-08,2024-01-30,26,38.16,Telefono,Viajado,10.0,JUAN CARLOS MAMANI QUISPE,Pasajero adulto mayor,2024,1
160,6,11,2,8,2023-03-04,2023-03-24,38,137.34,Ventanilla,Viajado,10.0,SIN REGISTRO,Sin observaciones,2023,3
161,2,3,1,1,2023-09-21,2023-09-25,22,95.04,Agente,Viajado,10.0,MARIA ELENA FLORES,Pasajero adulto mayor,2023,9
162,3,13,1,3,2025-08-13,2025-08-21,32,98.28,Agente,Viajado,10.0,FERNANDO JOSE AGUILAR SALINAS,Pasajero adulto mayor,2025,8
163,2,12,1,1,2024-09-27,2024-10-09,32,116.4,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasaje con equipaje extra,2024,9
164,8,2,4,11,2024-06-17,2024-07-04,3,72.8,Agente,Cancelado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2024,6
165,2,10,1,1,2023-04-02,2023-04-12,22,91.2,Web,Cancelado,20.0,GLORIA BEATRIZ ARCE VILLANUEVA,Pasajero adulto mayor,2023,4
166,9,2,5,12,2023-08-23,2023-09-05,38,147.0,Telefono,Viajado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2023,8
167,1,2,1,1,2023-07-23,2023-08-17,22,126.0,Ventanilla,Cancelado,0.0,MARIA ELENA FLORES TARQUI,Pasaje con equipaje extra,2023,7
168,1,4,1,1,2023-07-23,2023-08-22,37,127.2,Ventanilla,Cancelado,0.0,ANA LUISA CONDORI HUANCA,Pasaje con equipaje extra,2023,7
169,4,2,1,5,2025-09-01,2025-09-06,7,134.4,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,Sin observaciones,2025,9
170,1,20,1,1,2024-12-14,2024-12-29,41,133.2,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra,2024,12
171,11,8,7,4,2023-06-17,2023-06-18,44,42.8,Web,Cancelado,0.0,JUAN CARLOS,Sin observaciones,2023,6
172,3,19,1,3,2024-01-04,2024-01-18,44,127.2,Web,Viajado,0.0,DANIEL ALEJANDRO PEREZ OPORTO,Sin observaciones,2024,1
