id_venta,id_itinerario,id_pasajero,id_ruta,id_empresa,fecha_venta,fecha_viaje,numero_asiento,monto_pagado,canal_venta,estado_pasaje,descuento_aplicado,nombre_pasajero_registrado,observaciones
162,11,20,7,4,2023-09-19,2023-10-02,26,37.2,Telefono,Viajado,0.0,CARMEN ROSA OPORTO FLORES,Pasajero adulto mayor
163,3,3,1,3,2023-04-29,2023-05-28,43,117.6,Telefono,Viajado,0.0,PEDRO ANTONIO GUTIERREZ VACA,Pasajero adulto mayor
164,13,8,8,4,2025-11-19,2025-12-01,30,27.72,Ventanilla,Cancelado,10.0,SANDRA PATRICIA TORREZ MENDOZA,
165,5,12,2,2,2023-01-27,2023-02-16,1,127.4,Agente,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,
166,4,4,1,5,2024-03-21,2024-04-05,23,117.72,Agente,Viajado,10.0,ANA LUISA CONDORI HUANCA,Sin observaciones
167,5,2,2,2,2024-05-31,2024-06-02,28,121.8,Agente,Viajado,0.0,MARIA ELENA FLORES TARQUI,
168,1,14,1,1,2024-08-15,2024-09-12,35,121.2,Web,Viajado,0.0,CLAUDIA VERONICA SALINAS IBAÑEZ,Pasajero adulto mayor
169,9,7,5,12,2025-04-13,2025-04-15,4,168.0,Telefono,Viajado,0.0,MIGUEL ANGEL QUISPE MAMANI,Pasaje con equipaje extra
170,5,13,2,2,2024-12-27,2025-01-03,40,152.6,Agente,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
171,14,2,10,13,2024-11-04,2024-11-09,38,26.25,Web,Cancelado,0.0,  JUAN   carlos  ,Pasaje con equipaje extra
172,7,20,3,3,2025-04-21,2025-04-23,16,113.3,Telefono,Cancelado,0.0,CARMEN ROSA OPORTO FLORES,Pasaje con equipaje extra
173,6,18,2,8,2025-01-24,2025-02-18,1,120.96,Ventanilla,Viajado,10.0,SILVIA ROSARIO MONTAÑO PEREZ,
174,4,18,1,5,2025-01-14,2025-02-01,27,122.4,Telefono,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,Pasaje con equipaje extra
175,15,18,11,13,2023-10-17,2023-10-25,16,10.3,Ventanilla,Viajado,0.0,SILVIA ROSARIO MONTAÑO PEREZ,
176,9,9,5,12,2024-04-25,2024-05-08,34,125.55,Agente,Viajado,10.0,LUIS FERNANDO MENDOZA ARCE,Pasaje con equipaje extra
177,15,8,11,13,2024-06-21,2024-07-01,7,10.3,Ventanilla,Cancelado,0.0,SANDRA PATRICIA TORREZ MENDOZA,Pasaje con equipaje extra
178,5,15,2,2,2025-01-08,2025-01-10,46,159.6,Telefono,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,
179,10,13,6,10,2023-05-27,2023-06-20,44,84.6,Web,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,
180,12,1,7,6,2025-08-28,2025-09-17,31,41.2,Agente,Viajado,0.0,,Pasajero adulto mayor
181,9,6,5,12,2024-06-10,2024-07-05,31,124.2,Agente,Viajado,10.0,ROSA ANGELICA CHOQUE LIMACHI,Pasaje con equipaje extra
182,9,15,5,12,2025-11-03,2025-11-11,41,151.5,Ventanilla,Viajado,0.0,JORGE EDUARDO IBAÑEZ CASTRO,
183,9,1,5,12,2023-09-26,2023-10-18,2,139.5,Telefono,Viajado,0.0,JUAN CARLOS MAMANI QUISPE,
184,10,10,6,10,2023-07-06,2023-07-13,32,70.47,Telefono,Viajado,10.0,mARIA eLENA fLoReS,Pasajero adulto mayor
185,7,12,3,3,2023-09-06,2023-09-27,26,118.8,Web,Viajado,0.0,PATRICIA ISABEL RAMOS AGUILAR,Pasajero adulto mayor
186,2,19,1,1,2024-12-28,2025-01-02,13,122.04,Agente,Viajado,10.0,DANIEL ALEJANDRO PEREZ OPORTO,
187,15,13,11,13,2025-04-28,2025-05-15,33,9.0,Telefono,Viajado,0.0,FERNANDO JOSE AGUILAR SALINAS,Pasaje con equipaje extra
188,9,5,5,12,2023-01-20,2023-02-12,3,114.75,Web,Viajado,10.0,CARLOS ALBERTO VARGAS TORREZ,Pasajero adulto mayor
189,8,2,4,11,2023-03-11,2023-03-28,8,63.7,Web,Viajado,0.0,MARIA ELENA FLORES TARQUI,
